卡组,状态,标题,来源文件,行号,题图,未导入原因
408,已导入,TLB与Cache访存状态组合,408/笔记/计算机组成原理-存储系统-cache和虚拟存储器.md,3,../assets/计算机组成原理-存储系统-TLB-Cache访存状态组合.png,
408,已导入,指令执行过程中的主存访问次数,408/笔记/计算机组成原理-存储系统-cache和虚拟存储器.md,17,../assets/计算机组成原理-存储系统-指令访存次数.png,
408,已导入,Cache缺失与缺页异常的处理,408/笔记/计算机组成原理-存储系统-cache和虚拟存储器.md,34,../assets/计算机组成原理-存储系统-缺失异常处理.png,
408,已导入,计算机组成原理-存储系统-cache容量计算,408/笔记/计算机组成原理-存储系统-cache容量计算.md,1,规定映射方式和写命中策略时的cache地址.png,
408,已导入,DRAM芯片扩展与刷新,408/笔记/计算机组成原理-存储系统-主存储器.md,3,../assets/计算机组成原理-存储系统-DRAM刷新.png,
408,已导入,DDR SDRAM相关计算,408/笔记/计算机组成原理-存储系统-主存储器.md,19,../assets/计算机组成原理-存储系统-DDR相关计算.png,
408,已导入,固态硬盘的读写与磨损均衡,408/笔记/计算机组成原理-存储系统-外部存储器.md,3,../assets/计算机组成原理-存储系统-SSD均衡.png,
408,已导入,计算机组成原理-存储系统-多模块存储器,408/笔记/计算机组成原理-存储系统-多模块存储器.md,1,低位交叉中如何安排模块数量以使存储效率最大化.png,
408,已导入,计算机组成原理-存储系统-多模块存储器,408/笔记/计算机组成原理-存储系统-多模块存储器.md,8,多模块存储器提高读取速度的原理.png,
408,已导入,计算机组成原理-存储系统-多模块存储器,408/笔记/计算机组成原理-存储系统-多模块存储器.md,16,../assets/计算机组成原理-存储系统-低位交叉冲突分析.png,
408,已导入,计算机组成原理-存储系统-存储系统的组成,408/笔记/计算机组成原理-存储系统-存储系统的组成.md,1,存储系统的地址.png,
408,已导入,计算机组成原理-存储系统-存储系统的组成,408/笔记/计算机组成原理-存储系统-存储系统的组成.md,11,../assets/计算机组成原理-存储系统-存储器的分类.png,
408,已导入,基址寄存器与变址寄存器的作用,408/笔记/计算机组成原理-指令系统-寻址方式.md,3,../assets/计算机组成原理-指令系统-指令寻址方式中寄存器的作用.png,
408,已导入,指令寻址方式的比较,408/笔记/计算机组成原理-指令系统-寻址方式.md,19,../assets/计算机组成原理-指令系统-指令寻址方式的比较.png,
408,已导入,不同地址数指令的数量关系,408/笔记/计算机组成原理-指令系统-指令格式.md,3,../assets/计算机组成原理-指令系统-可变字长指令的数量关系.png,
408,已导入,函数调用的执行流程,408/笔记/计算机组成原理-指令系统-程序的机器级代码表示.md,3,../assets/计算机组成原理-指令系统-函数调用的流程.png,
408,已导入,转移指令与调用指令的区别,408/笔记/计算机组成原理-指令系统-程序的机器级代码表示.md,16,../assets/计算机组成原理-指令系统-转移指令和调用指令的对比.png,
408,已导入,ALOHA协议,408/笔记/计算机网络-数据链路层-介质访问控制.md,2,数据链路层-ALOHA-如何判断碰撞.png,
408,已导入,争用期计算,408/笔记/计算机网络-数据链路层-介质访问控制.md,12,数据链路层-CSMACD-争用期.png,
408,已导入,CDMA,408/笔记/计算机网络-数据链路层-介质访问控制.md,23,数据链路层-CDMA-接收站码片计算.png,
408,已导入,计算机网络-数据链路层-协议和服务,408/笔记/计算机网络-数据链路层-协议和服务.md,1,令牌环网络的相关命题.png,
408,已导入,计算机网络-数据链路层-协议和服务,408/笔记/计算机网络-数据链路层-协议和服务.md,12,时分复用中介质和信号的相关性质.png,
408,已导入,计算机网络-数据链路层-协议和服务,408/笔记/计算机网络-数据链路层-协议和服务.md,22,数据链路层协议功能.png,
408,已导入,（背过）,408/笔记/计算机网络-数据链路层-协议和服务.md,31,信道划分MAC的辨析.png,
408,已导入,时延带宽积相关计算,408/笔记/计算机网络-数据链路层-协议和服务.md,40,数据链路层-信道利用率-时延带宽积的计算.png,
408,已导入,以太网帧的额外负荷,408/笔记/计算机网络-数据链路层-协议和服务.md,50,数据链路层-以太网-组装成帧.png,
408,已导入,以太网帧的长度字段所指含义,408/笔记/计算机网络-数据链路层-协议和服务.md,58,数据链路层-组装成帧-长度字段.png,
408,已导入,PPP协议的转义字符,408/笔记/计算机网络-数据链路层-协议和服务.md,70,数据链路层-PPP协议-转义字符.png,
408,已导入,虚拟局域网-802.1Q帧,408/笔记/计算机网络-数据链路层-协议和服务.md,83,数据链路层-VLAN-802.1Q帧.png,
408,已导入,防止帧丢失的机制,408/笔记/计算机网络-数据链路层-差错控制.md,25,数据链路层防止帧丢失的方法.png,
408,已导入,海明码的相关概念,408/笔记/计算机网络-数据链路层-差错控制.md,38,数据链路层-海明码-概念辨析.png,
408,已导入,奇偶校验码的应用,408/笔记/计算机网络-数据链路层-差错控制.md,49,数据链路层-奇偶校验码-检错位数.png,
408,已导入,SSID相关概念,408/笔记/计算机网络-数据链路层-无线局域网.md,2,数据链路层-无线局域网-SSID.png,
408,已导入,虚拟载波侦听NAV的设置,408/笔记/计算机网络-数据链路层-无线局域网.md,12,数据链路层-无线局域网NAV-计算.png,
408,未导入,GBN协议的具体应用大题,408/笔记/计算机网络-数据链路层-流量控制.md,2,数据链路层差错控制GBN协议大题.png,答案区域为空或仍是占位内容
408,已导入,GBN协议中的确认机制,408/笔记/计算机网络-数据链路层-流量控制.md,10,数据链路层-GBN协议-确认机制.png,
408,已导入,SR协议中的接收窗口,408/笔记/计算机网络-数据链路层-流量控制.md,19,数据链路层-SR协议-接收窗口怎么滑动？.png,
408,已导入,ICMP差错报告,408/笔记/计算机网络-网络层-ICMP.md,3,../assets/计算机网络-网络层-ICMP差错报告.png,
408,已导入,CIDR地址块与路由聚合,408/笔记/计算机网络-网络层-IP协议.md,3,../assets/计算机网络-网络层-CIDR实操.png,
408,已导入,IP协议的分片与重组,408/笔记/计算机网络-网络层-IP协议.md,20,../assets/计算机网络-网络层-IP协议分片和重组.png,
408,已导入,OpenFlow流表字段,408/笔记/计算机网络-网络层-SDN.md,3,../assets/计算机网络-网络层-SDN流表字段.png,
408,已导入,虚电路网络的资源预留与路由,408/笔记/计算机网络-网络层-虚电路.md,3,../assets/计算机网络-网络层-虚电路资源分配.png,
数学,已导入,由向量组的秩推导线性相关性（重点）,数学/线性代数/向量.md,5,向量-向量组的秩推知向量组的线性相关性.png,
数学,已导入,由向量组的秩推导线性相关性（重点）,数学/线性代数/向量.md,17,向量-线性表示推理-小表大，大相关.png,
数学,已导入,（矩阵形式）,数学/线性代数/向量.md,39,向量-线性无关-利用特征向量的性质.png,
数学,已导入,（线性方程组形式）,数学/线性代数/向量.md,53,向量-证明线性无关-方程组法.png,
数学,已导入,（利用矩阵作用关系证明线性无关）,数学/线性代数/向量.md,62,assets/线性代数-向量-线性无关与向量关系式.png,
数学,已导入,（含任意参数的向量组线性无关性）,数学/线性代数/向量.md,72,assets/线性代数-向量-向量组线性无关性的推导.png,
数学,已导入,（系数向量与基础解系）,数学/线性代数/向量.md,86,assets/线性代数-向量-基础解系和系数向量的关系.png,
数学,已导入,（左零空间的正交补）,数学/线性代数/向量.md,96,assets/线性代数-向量-矩阵的零空间和列空间.png,
数学,已导入,向量组等价的定义和证明,数学/线性代数/向量.md,109,向量-向量组等价-用矩阵证明等价性.png,
数学,已导入,向量组等价的定义和证明,数学/线性代数/向量.md,120,向量-向量组等价的定义.png,
数学,已导入,同型方阵的等价关系,数学/线性代数/矩阵.md,5,F:\软件数据\系统桌面\每日错题\数学\线性代数\assets\线性代数-矩阵的秩-向量组等价.png,
数学,已导入,矩阵的等价、相似、合同,数学/线性代数/矩阵.md,15,矩阵相似、合同、等价的关系.png,
数学,已导入,矩阵的等价、相似、合同,数学/线性代数/矩阵.md,28,矩阵-判定正定实对称矩阵.png,
数学,已导入,QR分解,数学/线性代数/矩阵.md,42,可逆矩阵的QR分解-知识点.png,
数学,已导入,已知AB求BA,数学/线性代数/矩阵.md,52,已知AB求BA.png,
数学,已导入,特征值的妙用,数学/线性代数/矩阵.md,63,矩阵所有元素之和-特征值为1-特征向量.png,
数学,已导入,正交矩阵的性质,数学/线性代数/矩阵.md,75,矩阵-正交矩阵的变换.png,
数学,已导入,正交矩阵的性质,数学/线性代数/矩阵.md,87,矩阵-正交矩阵性质证明.png,
数学,已导入,已知关系式求函数表达式-“偏微分方程”,数学/高等数学/多元微分.md,5,F:\软件数据\系统桌面\每日错题\数学\高等数学\assets\多元微分-已知关系式求函数表达式-“偏微分方程”.png,
数学,已导入,已知关系式求函数表达式,数学/高等数学/多元微分.md,14,多元微分-已知偏微分关系式求函数表达式.png,
数学,未导入,已知方向导数求函数表达式与闭区域最值,数学/高等数学/多元微分.md,23,assets/多元微分-数一专项-方向导数.png,答案区域为空或仍是占位内容
数学,未导入,曲面切平面与几何体体积最值,数学/高等数学/多元微分.md,33,assets/多元微分-数一专项-切平面相关.png,答案区域为空或仍是占位内容
数学,已导入,具体函数表达式的极值，表达式复杂,数学/高等数学/多元微分.md,42,多元微分-复杂具体函数求极值.png,
数学,已导入,隐函数-复合函数极值的充分条件判定,数学/高等数学/多元微分.md,52,多元微分-隐函数极值-极值的充分条件.png,
数学,已导入,一,数学/高等数学/多元微分.md,61,assets/多元微分-条件极值-两个约束条件.png,
数学,已导入,二,数学/高等数学/多元微分.md,71,assets/多元微分-数一专项-点到坐标面距离的极值.png,
数学,已导入,含参数不等式恒成立的取值范围,数学/高等数学/多元微分.md,83,assets/多元微分-求参数取值范围-包含指数.png,
数学,已导入,已知闭区域边界值的极值判断,数学/高等数学/多元微分.md,95,assets/多元微分-边界极值-分类讨论.png,
数学,已导入,一,数学/高等数学/无穷级数.md,5,F:\软件数据\系统桌面\每日错题\数学\高等数学\assets\无穷级数-级数收敛定义（部分和）-放缩.png,
数学,已导入,二,数学/高等数学/无穷级数.md,14,F:\软件数据\系统桌面\每日错题\数学\高等数学\assets\无穷级数-级数收敛定义-奇异搞笑.png,
数学,已导入,一 真题,数学/高等数学/无穷级数.md,24,F:\软件数据\系统桌面\每日错题\数学\高等数学\assets\无穷级数-两个数列-函数性质.png,
数学,已导入,二 真题变式 竞赛题,数学/高等数学/无穷级数.md,33,F:\软件数据\系统桌面\每日错题\数学\高等数学\assets\无穷级数-两个数列-真题变式.png,
数学,已导入,与方程根有关-放缩,数学/高等数学/无穷级数.md,43,F:\软件数据\系统桌面\每日错题\数学\高等数学\assets\无穷级数-与方程根有关-放缩.png,
数学,已导入,一-$x\sin x$周期面积与相邻项级数,数学/高等数学/无穷级数.md,55,assets/无穷级数-与微积分联系-xsinx周期上积分.png,
数学,已导入,二-切线横截距极限与加权级数,数学/高等数学/无穷级数.md,65,assets/无穷级数-与微积分联系-极限计算.png,
数学,已导入,曲线面积定义通项与奇数序号子级数,数学/高等数学/无穷级数.md,79,assets/无穷级数-偶数项子级数-麦克劳林.png,
数学,已导入,幂级数常规收敛域中较难的题目,数学/高等数学/无穷级数.md,91,无穷级数-返璞归真用必要条件.png,
数学,已导入,区间压缩定理的运用,数学/高等数学/无穷级数.md,101,无穷级数-区间压缩-微分中值定理.png,
数学,已导入,阿贝尔定理的运用,数学/高等数学/无穷级数.md,113,无穷级数-幂级数-阿贝尔.png,
数学,已导入,疑难未解决题目（已解决 7.22）,数学/高等数学/无穷级数.md,129,无穷级数-作差证收敛.png,
数学,已导入,向常见幂级数转换,数学/高等数学/无穷级数.md,143,无穷级数-幂级数求和-三角常用公式.png,
数学,已导入,向常见幂级数转换,数学/高等数学/无穷级数.md,153,无穷级数-幂级数求和-微分方程法.png,
数学,已导入,向常见幂级数转换,数学/高等数学/无穷级数.md,163,无穷级数-幂级数求和-系数递推.png,
数学,已导入,一-$na_n$型递推,数学/高等数学/无穷级数.md,174,assets/无穷级数-幂级数求和-nan型.png,
数学,已导入,二-由后两项推知前一项,数学/高等数学/无穷级数.md,184,assets/无穷级数-幂级数求和-后两项推知前一项.png,
